dateutc,tempinf,humidityin,baromrelin,baromabsin,tempf,battout,humidity,winddir,windspeedmph,windgustmph,maxdailygust,hourlyrainin,eventrainin,dailyrainin,weeklyrainin,monthlyrainin,totalrainin,solarradiation,uv,batt_co2,feelsLike,dewPoint,feelsLikein,dewPointin,lastRain,loc,date
1620658500000,76.1,54,30.204,29.817,68.0,1,42,63,1.3,2.2,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,68.0,44.04,75.9,58.2,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T14:55:00.000Z
1620658200000,76.1,54,30.201,29.814,67.8,1,43,34,2.2,3.4,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.8,44.48,75.9,58.2,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T14:50:00.000Z
1620657900000,76.3,54,30.204,29.817,67.6,1,47,66,0.7,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.6,46.64,76.2,58.4,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T14:45:00.000Z
1620657600000,76.3,54,30.21,29.823,67.6,1,48,45,1.1,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.6,47.2,76.2,58.4,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T14:40:00.000Z
1620657300000,76.3,54,30.198,29.811,67.5,1,50,121,0.9,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.5,48.2,76.2,58.4,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T14:35:00.000Z
1620657000000,76.5,54,30.204,29.817,67.5,1,52,177,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.5,49.25,76.4,58.6,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T14:30:00.000Z
1620656700000,76.5,54,30.213,29.826,67.3,1,52,187,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.3,49.06,76.4,58.6,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T14:25:00.000Z
1620656400000,76.5,54,30.204,29.817,67.3,1,52,176,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.3,49.06,76.4,58.6,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T14:20:00.000Z
1620656100000,76.6,55,30.204,29.817,67.3,1,52,97,0.7,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.3,49.06,76.5,59.2,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T14:15:00.000Z
1620655800000,76.6,55,30.198,29.811,67.3,1,52,122,0.7,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.3,49.06,76.5,59.2,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T14:10:00.000Z
1620655500000,76.8,55,30.195,29.808,67.5,1,52,182,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.5,49.25,76.8,59.4,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T14:05:00.000Z
1620655200000,76.8,55,30.201,29.814,67.3,1,52,121,1.1,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.3,49.06,76.8,59.4,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T14:00:00.000Z
1620654900000,76.8,54,30.195,29.808,67.1,1,53,178,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.1,49.39,76.7,58.9,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T13:55:00.000Z
1620654600000,76.6,54,30.204,29.817,67.3,1,53,179,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.3,49.57,76.5,58.7,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T13:50:00.000Z
1620654300000,76.6,54,30.201,29.814,67.1,1,53,186,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.1,49.39,76.5,58.7,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T13:45:00.000Z
1620654000000,76.6,54,30.201,29.814,67.1,1,54,186,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.1,49.89,76.5,58.7,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T13:40:00.000Z
1620653700000,76.6,54,30.207,29.82,67.1,1,54,186,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.1,49.89,76.5,58.7,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T13:35:00.000Z
1620653400000,76.6,54,30.198,29.811,67.1,1,55,186,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.1,50.39,76.5,58.7,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T13:30:00.000Z
1620653100000,76.6,54,30.21,29.823,67.3,1,55,192,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.3,50.57,76.5,58.7,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T13:25:00.000Z
1620652800000,76.5,54,30.207,29.82,67.3,1,54,197,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.3,50.08,76.4,58.6,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T13:20:00.000Z
1620652500000,76.5,54,30.204,29.817,67.3,1,55,192,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.3,50.57,76.4,58.6,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T13:15:00.000Z
1620652200000,76.3,54,30.207,29.82,67.6,1,55,192,0.2,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.6,50.85,76.2,58.4,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T13:10:00.000Z
1620651900000,76.3,54,30.204,29.817,67.6,1,54,147,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.6,50.35,76.2,58.4,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T13:05:00.000Z
1620651600000,76.1,53,30.213,29.826,67.5,1,55,146,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.5,50.76,75.9,57.7,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T13:00:00.000Z
1620651300000,76.1,52,30.207,29.82,67.5,1,55,146,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.5,50.76,75.9,57.2,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T12:55:00.000Z
1620651000000,75.9,52,30.21,29.823,67.3,1,55,147,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.3,50.57,75.6,57.0,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T12:50:00.000Z
1620650700000,75.7,51,30.204,29.817,67.6,1,55,147,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.6,50.85,75.4,56.3,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T12:45:00.000Z
1620650400000,76.1,51,30.207,29.82,68.0,1,54,174,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,68.0,50.73,75.8,56.6,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T12:40:00.000Z
1620650100000,75.9,51,30.21,29.823,68.2,1,55,175,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.3,51.41,75.6,56.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T12:35:00.000Z
1620649800000,75.9,51,30.204,29.817,68.2,1,54,175,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.26,50.91,75.6,56.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T12:30:00.000Z
1620649500000,75.7,50,30.207,29.82,68.2,1,54,174,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.26,50.91,75.3,55.7,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T12:25:00.000Z
