日時,気温_屋内,気温_屋外,湿度_屋内,湿度_屋外,露点温度_屋内,露点温度_屋外,体感温度_屋内,体感温度_屋外,気圧,1時間雨量,降雨時総雨量,1日総雨量,1週間総雨量,1か月総雨量,最終降雨日時,風向,風速,瞬間風速,最大瞬間風速,日照量
2021-05-10 23:55:00+09:00,24.5,20.0,54,42,14.6,6.7,24.4,20.0,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,63,1.3,2.2,11.4,0.0
2021-05-10 23:50:00+09:00,24.5,19.9,54,43,14.6,6.9,24.4,19.9,1022.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,34,2.2,3.4,11.4,0.0
2021-05-10 23:45:00+09:00,24.6,19.8,54,47,14.7,8.1,24.6,19.8,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,66,0.7,1.1,11.4,0.0
2021-05-10 23:40:00+09:00,24.6,19.8,54,48,14.7,8.4,24.6,19.8,1023.0,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,45,1.1,1.1,11.4,0.0
2021-05-10 23:35:00+09:00,24.6,19.7,54,50,14.7,9.0,24.6,19.7,1022.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,121,0.9,1.1,11.4,0.0
2021-05-10 23:30:00+09:00,24.7,19.7,54,52,14.8,9.6,24.7,19.7,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,177,0.0,0.0,11.4,0.0
2021-05-10 23:25:00+09:00,24.7,19.6,54,52,14.8,9.5,24.7,19.6,1023.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,187,0.0,0.0,11.4,0.0
2021-05-10 23:20:00+09:00,24.7,19.6,54,52,14.8,9.5,24.7,19.6,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,176,0.0,0.0,11.4,0.0
2021-05-10 23:15:00+09:00,24.8,19.6,55,52,15.1,9.5,24.7,19.6,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,97,0.7,1.1,11.4,0.0
2021-05-10 23:10:00+09:00,24.8,19.6,55,52,15.1,9.5,24.7,19.6,1022.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,122,0.7,1.1,11.4,0.0
2021-05-10 23:05:00+09:00,24.9,19.7,55,52,15.2,9.6,24.9,19.7,1022.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,182,0.0,0.0,11.4,0.0
2021-05-10 23:00:00+09:00,24.9,19.6,55,52,15.2,9.5,24.9,19.6,1022.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,121,1.1,1.1,11.4,0.0
2021-05-10 22:55:00+09:00,24.9,19.5,54,53,14.9,9.7,24.8,19.5,1022.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,178,0.0,0.0,11.4,0.0
2021-05-10 22:50:00+09:00,24.8,19.6,54,53,14.8,9.8,24.7,19.6,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,179,0.0,0.0,11.4,0.0
2021-05-10 22:45:00+09:00,24.8,19.5,54,53,14.8,9.7,24.7,19.5,1022.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,186,0.0,0.0,11.4,0.0
